Date;Group;Series;Value
29/03/2016;Riksbank key interest rates;Policy rate;-0,50
30/03/2016;Riksbank key interest rates;Policy rate;-0,50
31/03/2016;Riksbank key interest rates;Policy rate;-0,50
01/04/2016;Riksbank key interest rates;Policy rate;-0,50
04/04/2016;Riksbank key interest rates;Policy rate;-0,50
05/04/2016;Riksbank key interest rates;Policy rate;-0,50
06/04/2016;Riksbank key interest rates;Policy rate;-0,50
07/04/2016;Riksbank key interest rates;Policy rate;-0,50
08/04/2016;Riksbank key interest rates;Policy rate;-0,50
11/04/2016;Riksbank key interest rates;Policy rate;-0,50
12/04/2016;Riksbank key interest rates;Policy rate;-0,50
13/04/2016;Riksbank key interest rates;Policy rate;-0,50
14/04/2016;Riksbank key interest rates;Policy rate;-0,50
15/04/2016;Riksbank key interest rates;Policy rate;-0,50
18/04/2016;Riksbank key interest rates;Policy rate;-0,50
19/04/2016;Riksbank key interest rates;Policy rate;-0,50
20/04/2016;Riksbank key interest rates;Policy rate;-0,50
21/04/2016;Riksbank key interest rates;Policy rate;-0,50
22/04/2016;Riksbank key interest rates;Policy rate;-0,50
25/04/2016;Riksbank key interest rates;Policy rate;-0,50
26/04/2016;Riksbank key interest rates;Policy rate;-0,50
27/04/2016;Riksbank key interest rates;Policy rate;-0,50
28/04/2016;Riksbank key interest rates;Policy rate;-0,50
29/04/2016;Riksbank key interest rates;Policy rate;-0,50
02/05/2016;Riksbank key interest rates;Policy rate;-0,50
03/05/2016;Riksbank key interest rates;Policy rate;-0,50
04/05/2016;Riksbank key interest rates;Policy rate;-0,50
06/05/2016;Riksbank key interest rates;Policy rate;-0,50
09/05/2016;Riksbank key interest rates;Policy rate;-0,50
10/05/2016;Riksbank key interest rates;Policy rate;-0,50
11/05/2016;Riksbank key interest rates;Policy rate;-0,50
12/05/2016;Riksbank key interest rates;Policy rate;-0,50
13/05/2016;Riksbank key interest rates;Policy rate;-0,50
16/05/2016;Riksbank key interest rates;Policy rate;-0,50
17/05/2016;Riksbank key interest rates;Policy rate;-0,50
18/05/2016;Riksbank key interest rates;Policy rate;-0,50
